,img_id,turn_index,instruction,reverse_instruction,source_global_caption,target_global_caption,target_local_caption
36,140513,2,put the zebras next to a river,remove the river,Three zebras standing in the middle of a plain with majestic mountains in the background.,Three zebras standing next to a river with majestic mountains in the background.,Zebras next to a river with majestic mountains in the background.
37,142400,1,Make it a slice of pizza instead of the sandwich.,Make it a sandwich instead of a slice of pizza,A white plate topped with a sandwich and rice.,A white plate topped with pizza and rice.,pizza on a plate
38,142400,2,There should be some cutlery on the table.,There should not be any cutlery on the table,A white plate topped with pizza and rice.,"A white plate topped with pizza and rice, accompanied by cutlery on the table.",table with cutlery
39,142510,1,add a plane in the sky,remove the plane in the sky,An intersection with street signs and traffic lights and someone riding on a bicycle.,An intersection with street signs and traffic lights and someone riding on a bicycle with a plane in the sky.,plane in the sky
40,142510,2,remove the clouds,add clouds in the sky,An intersection with street signs and traffic lights and someone riding on a bicycle with a plane in the sky.,An intersection with street signs and traffic lights and someone riding on a bicycle with a clear blue sky and a plane in the distance.,An intersection with street signs and traffic lights and someone riding on a bicycle with a plane in the sky.
41,142585,1,Let the van turn black.,Let the van turn white,A couple of vehicles are side by side.,A black van and car are side by side.,black van
42,147546,1,remove bananas and add grapes,remove grapes and add bananas,A rack with lots of ripe bananas hanging from it.,A rack with lots of ripe grapes hanging from it.,grapes
43,148240,1,the boy should be holding a banana.,the boy should be holding a serving spoon,A man dressed in yellow standing over a buffet with a line of people.,"A man dressed in yellow standing over a buffet with a line of people, while a boy holds a banana.",boy holding a banana
44,148240,2,Can the man hold bananas too?,can the man hold a bowl?,"A man dressed in yellow standing over a buffet with a line of people, while a boy holds a banana.","A man dressed in yellow holding bananas, standing over a buffet with a line of people, while a boy also holds a banana.",man holding bananas
45,150812,1,put a robot tiger next to the bear,remove the robot tiger next to the bear,a bear walks on a rocky surface,A bear and a robot tiger on a rocky surface,robot tiger next to bear
46,151,1,Add a dear on the grass.,remove the dear on the grass,A stop sign directs pedestrians as a train travels by.,A stop sign directs pedestrians as a train travels by with a dear on the grass.,dear on the grass
47,153639,2,make it a pepperoni pizza,make it a vegetable pizza,"Man cutting into a pizza with a knife, covered with toppings.","Man cutting into a pepperoni pizza with a knife, covered with toppings.",pepperoni pizza
48,155790,1,it should be a tennis ball on the glove.,it should be a baseball on the glove.,a brown baseball glove and a white baseball,a brown baseball glove with a yellow tennis ball,tennis ball on glove
49,158548,1,Make it a black sheep.,make it a white sheep,Outdoor show with sheep prominent on grass field.,Outdoor show with black sheep prominent on grass field.,black sheep on grass field.
50,158548,2,A dog should be near the sheep.,remove the dog near the sheep,Outdoor show with black sheep prominent on grass field.,Outdoor show with a dog herding black sheep on a grass field.,sheep and dog on grass field
51,158726,1,Make the donut a cupcake.,Make the cupcake a donut,A close-up of a doughnut and a cup of coffee on a table.,A close-up of a cupcake and a cup of coffee on a table.,cupcake and coffee on a table.
52,158726,2,Replace the coffee with beer.,Replace the beer with a coffee,A close-up of a cupcake and a cup of coffee on a table.,A close-up of a cupcake and a beer on a table.,cupcake and beer on a table.
53,163114,2,remove the tent and add a bonfire,Remove the bonfire and add a tent,A car parked in grassy area next to a picnic table.,Car parked next to a bonfire at a picnic table in a grassy area.,car parked next to a bonfire and picnic table
54,17320,1,change the green ball to blue,change the blue ball to green,"A dog with some tennis balls, one in its mouth","A dog with some tennis balls, one blue ball in its mouth","dog with blue and other tennis balls, one in its mouth"
55,175584,1,Put a pond next to the cows.,Remove the pond next to the cows,some brown cows laying down and some white goats,Brown cows laying down next to a pond with white goats.,cows and goats next to a pond
56,175584,2,Can we have mountains on the background?,Can we remove the mountains in the background?,Brown cows laying down next to a pond with white goats.,Brown cows and white goats grazing with majestic mountains in the background.,cows and goats with mountain backdrop
57,175584,3,Put a horse insted of the goats.,Put some goats instead of the horse.,Brown cows and white goats grazing with majestic mountains in the background.,Brown cows and a horse grazing with majestic mountains in the background.,Brown cows and a horse grazing with majestic mountains in the background.
58,177572,1,make the woman hold a camera,make the woman hold a phone,The woman is taking a picture of the person that is taking a picture of her.,"The woman is taking a picture of the person that is taking a picture of her, while holding her own camera.",woman holding a camera
59,177824,1,let the bed be wooden,Let the bed be metal,A bed sitting in the corner of the room next to a wooden table.,A wooden bed sitting in the corner of the room next to a wooden table.,wooden bed
60,178403,1,Make the apples green,Make the apples red,"A table with a jar of cookies, cake, and fruit on it.","A table with a jar of cookies, cake, and green apples on it.","table with a jar of cookies, cake, and green apples on it."
61,178403,2,Get rid of the jar of cookies,Insert a jar of cookies,"A table with a jar of cookies, cake, and green apples on it.",A table with cake and green apples on it.,Table with cake and green apples on it.
62,178403,3,Make the cake a chocolate cake,Make the cake a vanilla cake,A table with cake and green apples on it.,A table with chocolate cake and green apples on it.,table with chocolate cake and green apples on it.
63,178928,1,turn the remote into a pizza,turn the pizza into a remote,A man making a goofy face with a remote control in his mouth.,A man making a goofy face with a pizza in his mouth.,pizza in mouth
64,178928,2,give the man glasses,remove the glasses from the man,A man making a goofy face with a pizza in his mouth.,A bespectacled man making a goofy face with a pizza in his mouth.,man with glasses
65,181699,1,replace the donuts with fruits,replace the fruits with donuts,A picture of a badly decorated wedding cake.,A picture of a beautifully decorated wedding cake with fruits instead of donuts.,wedding cake with fruits instead of donuts
66,181699,2,let a woman in a bridal gown stand near the cake,remove the woman in a bridal gown,A picture of a beautifully decorated wedding cake with fruits instead of donuts.,A bride admiring a beautifully decorated wedding cake with fruits instead of donuts.,Bridal gown and wedding cake with fruits
67,182759,3,let the dog yawn,let the dog not yawn,A black cat and brown-eyed dog are outside together,"A black cat and brown-eyed dog are outside together, with the dog yawning",yawning brown-eyed dog
68,184184,1,add another cup of water,remove the second cup of water,"A plate of rice and meat, a cup of water and fork and spoon.","A plate of rice and meat, two cups of water and fork and spoon.",two cups of water
69,184184,2,make the plate empty,make the plate full of rice and meat,"A plate of rice and meat, two cups of water and fork and spoon.","Empty plate, two cups of water and fork and spoon.",empty plate
70,184384,1,Let the bluebery cake be topped with chocolate syrup.,remove the chocolate syrup from the blueberry cake,A bluebery cake is on a plate and is topped with butter.,A blueberry cake is on a plate and is topped with chocolate syrup.,blueberry cake with chocolate syrup
71,187866,1,Change the boy to a girl.,change the girl to a boy,A little boy that has birds on his arms.,A little girl that has birds on her arms.,girl with birds on her arms
72,188612,1,Let's add a cat on the roof.,Let's remove the cat from the roof,A church steeple is contrasted against the blue sky.,"A church steeple with a cat on the roof, contrasted against the blue sky.",cat on church roof
73,189893,1,add water and flowers in the tub,remove the water and flowers from the tub,this bathroom has a large jacuzzi tub and a large mirror,"A relaxing oasis: this bathroom features a large jacuzzi tub filled with water and adorned with beautiful flowers, all reflected in a large mirror.",jacuzzi tub with water and flowers
74,190360,2,add a woman inside the car,remove the woman inside the car,A peaceful fluffy cat sleeping on the hood of a car,A peaceful fluffy cat sleeping on the hood of a car with a woman inside,woman inside car
75,193680,1,change the cat to a fox.,change the fox to a cat,Full grown cat laying down and sleeping on top of a car.,Full grown fox laying down and sleeping on top of a car.,fox sleeping on top of a car.
76,203920,1,make the stop sign an animal sign,make the animal sign a stop sign,A stop sign with street signs above it,An animal crossing sign with street signs above it,animal sign
77,204837,1,Have one of the children be blowing bubbles,remove the bubbles,A couple of young boys sitting down together on a floor.,A young boy blowing bubbles while sitting with his friend on the floor.,child blowing bubbles
78,204863,1,Have the man be wearing a kilt,Have the man be wearing khaki pants,A man and a woman eating food at the park.,A man wearing a kilt and a woman eating food at the park.,man wearing a kilt
79,205344,1,let the kid sleep,let the kid be awake and sitting up,Man and young boy on a couch in a living room.,Man and sleeping young boy on a couch in a living room.,Man and sleeping young boy on a couch in a living room.
80,205344,2,give the person a bowl,remove the bowl from the person,Man and sleeping young boy on a couch in a living room.,Man with a bowl and sleeping young boy on a couch in a living room.,person with bowl on couch in living room
81,207833,1,Have a gorilla sit at the dinner table.,remove the gorilla sitting at the dinner table,a dinner table set with many plates and spoons and forks,"A gorilla joins the dinner party, surrounded by plates, spoons, and forks.",gorilla at dinner table
82,211860,1,Have the woman be wearing a blue tank top,Have the woman be wearing a white shirt,A woman wearing a pink tshirt hits a tennis ball.,A woman wearing a blue tank top hits a tennis ball.,woman wearing blue tank top hitting a tennis ball
83,211860,2,Change the woman's hair to blonde,Change the woman's hair to brown,A woman wearing a blue tank top hits a tennis ball.,A blonde woman wearing a blue tank top hits a tennis ball.,blonde woman wearing a blue tank top hits a tennis ball.
84,214848,1,remove the table and add an aquarium,remove the aquarium and add a table,The couch and table were in the living room.,The couch and aquarium were in the living room.,aquarium in living room
85,214848,2,place a penguin in the picture,remove the penguin in the picture,The couch and aquarium were in the living room.,"The couch, aquarium, and a penguin in the living room.",picture with penguin
86,215135,1,Put a wooden floor on the kitchen.,Put a tiled floor on the kitchen.,A kitchen with white cabinets and white appliances.,"Kitchen with white cabinets, white appliances, and a wooden floor.","Kitchen with wooden floor, white cabinets, and white appliances."
87,215135,2,put a table in the kitchen.,remove the table in the kitchen.,"Kitchen with white cabinets, white appliances, and a wooden floor.","Kitchen with white cabinets, white appliances, a wooden floor, and a table.",table in kitchen
88,219590,1,put strawberry on the plate,remove the strawberry on the plate,A piece of pie has bananas and whipped cream surrounding it on a white plate.,"A piece of pie with bananas, whipped cream, and strawberries surrounding it on a white plate.",strawberry on white plate
89,221222,1,Let's add a dog next to the cows.,Let's remove the dog next to the cows.,a herd of cows stand on some tiled dirt,A herd of cows and a dog stand on some tiled dirt.,cows and a dog on tiled dirt
90,221427,1,Put a rat on the counter.,Remove the rat on the counter,A kitchen filled with metallic appliances and cooking apparatus.,"A kitchen filled with metallic appliances and cooking apparatus, with a rat on the counter.",kitchen with rat on counter
91,229301,1,let the sign show an address,let the sign show directions,Small street with cars and signs pointing to health services and a funeral.,Small street with cars and a sign showing an address for health services and a funeral.,address sign pointing to health services and funeral
92,234956,1,change the stop sign to a welcome sign,change the welcome sign to a stop sign,A passenger train traveling through the country side.,A passenger train traveling through the countryside with a welcome sign.,welcome sign in the countryside
93,234956,2,let it be a bullet train,"let it be a regular, old-school train",A passenger train traveling through the countryside with a welcome sign.,A bullet train speeding through the countryside with a welcome sign.,bullet train through the countryside with a welcome sign.
94,234956,3,add a bird on the road,remove the bird on the road,A bullet train speeding through the countryside with a welcome sign.,A bullet train speeding through the countryside with a welcome sign and a bird on the road.,bird on the road
95,235802,1,add a car instead of motorcycles,add a motorcycle instead of the car,Two motorcycles in parking lot in front of a building.,Car parked in parking lot in front of a building.,car in parking lot in front of a building
96,235802,2,edit the background by removing the museum and placing a castle,edit the background by removing the castle and placing a museum,Car parked in parking lot in front of a building.,Car parked in front of a castle in a parking lot.,Car parked in front of a castle.
97,237569,1,have the person jump over a tennis ball.,remove the tennis ball,The tennis player is up in the air hoping to striking the ball.,The tennis player jumps over the ball with ease.,person jumping over a tennis ball
98,237569,2,Have the person swing the racquet between his legs,Have the person swing the racquet over his shoulder,The tennis player jumps over the ball with ease.,The tennis player swings the racquet between his legs with ease.,person swinging racquet between legs
99,240967,1,put another freezer on the truck,replace the second freezer with a tractor,This truck is loaded and tied down securely.,This truck is loaded with two freezers and tied down securely.,another freezer on the truck
100,240967,2,open the door of the truck,close the door of the truck,This truck is loaded with two freezers and tied down securely.,This truck with open door is loaded with two freezers and tied down securely.,truck with open door
101,24585,1,Add a giant wasp.,remove the giant wasp,A large passenger jet sitting on an airport tarmac.,A large passenger jet sitting on an airport tarmac with a giant wasp.,giant wasp and a large passenger jet sitting on an airport tarmac.
102,24629,1,Let the Arabic writing be changed to Chinese.,Let the Chinese writing be changed to Arabic.,A red stop sign sitting on the side of a street.,A red stop sign with Chinese writing sitting on the side of a street.,Chinese stop sign
103,249441,1,Can we have a blue airplane?,Can we have a white airplane?,This jet just landed at the airport and is making it way down the jetway,This blue jet just landed at the airport and is making its way down the jetway.,blue airplane
104,253975,1,Add a cruise ship to the ocean.,Remove the cruise ship in the ocean.,A man riding a bike on a beach next to the ocean.,A man riding a bike on a beach next to the ocean with a cruise ship in the background.,cruise ship on ocean
105,254387,1,Let the person raise his arm.,Let the person lower his arm.,The Yankees and the Mets play a baseball game.,A player from the Yankees raises his arm during a game against the Mets.,person raising arm
106,256884,1,give the girl a baseball bat instead of a racket,give the girl a racket instead of a baseball bat,a person that has a racket in hand,A girl with a baseball bat in hand,girl with baseball bat
107,256884,2,remove the tennis ball,add a tennis ball,A girl with a baseball bat in hand,"A girl with a baseball bat in hand, ready to swing",A girl with a baseball bat in hand
108,2585,1,let the woman kiss,let the woman smile,A woman standing in front of a kitchen counter.,A woman kissing in front of a kitchen counter.,woman kissing in front of kitchen counter
109,2585,2,let the woman make a heart sign with her hands,let the woman open a bottle with her hands,A woman kissing in front of a kitchen counter.,Woman making a heart sign in front of a kitchen counter.,woman making heart sign with her hands
110,259097,1,Make the man's top blue.,Make the man's top red.,A person trying to reach a Frisbee in a field with high brown grass.,A person in a blue top trying to reach a Frisbee in a field with high brown grass.,man in blue top
111,259097,2,Remove the frisbee.,Add a frisbee,A person in a blue top trying to reach a Frisbee in a field with high brown grass.,A person in a blue top standing in a field with high brown grass.,Person in blue top in a field with high brown grass.
112,259097,3,Make all the grass green.,Make all the grass yellow.,A person in a blue top standing in a field with high brown grass.,A person in a blue top standing in a field with high green grass.,green grass field with person in blue top
113,25989,1,turn the frisbee into a soccer ball,turn the soccer ball into a frisbee,A small black dog playing with a frisbee.,A small black dog playing with a soccer ball.,small black dog playing with a soccer ball.
114,25989,2,let the dog have a newspaper in its mouth,remove the newspaper in the dog's mouth,A small black dog playing with a soccer ball.,A small black dog with a newspaper in its mouth.,dog with newspaper in mouth
115,25989,3,let there be potted plant,remove the potted plant,A small black dog with a newspaper in its mouth.,A small black dog with a newspaper in its mouth next to a potted plant.,potted plant and small black dog with a newspaper in its mouth.
116,262161,1,make the motorcycles and cars pink,make the motorcycles and cars multi colored,Large motorcycle sitting on a grassy area in a line.,Line of pink motorcycles and cars sitting on a grassy area.,pink motorcycles and cars
117,266961,1,There should be a tree on the front.,remove the tree in the front,A green fire hydrant sits next to a black trash can.,A green fire hydrant sits next to a black trash can with a tree in the foreground.,fire hydrant and trash can next to a tree
118,267300,1,Put popcorn in the plate.,remove the popcorn on the table,a dog laying down licking food off of a plate,A dog laying down licking popcorn off of a plate.,dog eating popcorn from plate
119,267300,2,Make the dog's eyes closed.,Make the dog's eyes open.,A dog laying down licking popcorn off of a plate.,A sleeping dog laying down with popcorn on a plate.,dog with closed eyes
120,26735,1,The bed should be red.,The bed should be white.,A bed suspended over a pile of luggage.,A red bed suspended over a pile of luggage.,red bed suspended over a pile of luggage.
121,270186,1,Let's add a monitor on the wall.,Let's remove the monitor on the wall.,A room that has a couch and two chairs in it.,"A room with a couch, two chairs, and a monitor on the wall.",room with monitor on wall
122,270650,1,put skis on the wheel,remove the skis on the wheel,A pair of skis are attached to the back of a car.,Skis attached to the wheels of a car.,skis on the wheel
123,272405,1,change the clock tower to a bell tower,change the bell tower to a clock tower,A brick clock tower stands in the middle of a colorful flower garden.,A brick bell tower stands in the middle of a colorful flower garden.,bell tower in colorful flower garden
124,272405,2,let the patch of flowers be daffodils,let the patch of daffodils be flowers,A brick bell tower stands in the middle of a colorful flower garden.,A brick bell tower stands in the middle of a colorful daffodil garden.,Bell tower in the middle of a daffodil garden.
125,272405,3,add a rocket in the sky,remove the rocket in the sky,A brick bell tower stands in the middle of a colorful daffodil garden.,A rocket flies over a brick bell tower in the middle of a colorful daffodil garden.,rocket in the sky
126,273560,1,Split the top layer so there's an extra one.,Merge the top two layers so there is only a single layer,A wedding cake and a knife on a serving table.,A wedding cake with an extra layer and a knife on a serving table.,wedding cake with extra layer
127,273560,2,Put bride and groom toppers on it.,Remove the bride and groom toppers on it.,A wedding cake with an extra layer and a knife on a serving table.,"A wedding cake with bride and groom toppers, an extra layer, and a knife on a serving table.",wedding cake with bride and groom toppers
128,273560,3,Remove the frosting between layers.,Add frosting between the layers,"A wedding cake with bride and groom toppers, an extra layer, and a knife on a serving table.","A wedding cake with bride and groom toppers, an extra layer, and a knife on a serving table, with unfrosted layers.",wedding cake with extra layer and knife on serving table.
129,289514,1,It could be a microwave next to the woman.,Remove the microwave next to the woman,A picture of some people that are in the kitchen.,A picture of some people in the kitchen with a microwave next to the woman.,microwave next to woman in kitchen
130,291614,1,place a cat in the counter,remove the cat on the counter,A kitchen with a large counter lined with cloth covered metal chairs.,A kitchen with a cat sitting on a large counter lined with cloth covered metal chairs.,cat on kitchen counter
131,291614,2,remove the cloth from the chairs,add a cloth on the chairs,A kitchen with a cat sitting on a large counter lined with cloth covered metal chairs.,A kitchen with a cat sitting on a large counter lined with metal chairs.,Kitchen with cat sitting on metal chairs.
132,291861,1,Make the zebra a regular horse.,Make the regular horse a zebra,A Zebra standing in between a group of large rocks,A horse standing in between a group of large rocks,regular horse standing in between a group of large rocks
133,292451,1,change the truck into a taxi,change the taxi into a truck,a car that is going down a small street,A taxi driving down a small street,taxi going down a small street
134,292451,2,let a herd of sheep block the taxi,remove the herd of sheep blocking the taxi,A taxi driving down a small street,A taxi blocked by a herd of sheep on a small street,herd of sheep
135,292451,3,change the trees at the back into palm trees,change the palm trees at the back into regular trees,A taxi blocked by a herd of sheep on a small street,A taxi blocked by a herd of sheep on a small street with palm trees in the background,taxi blocked by sheep on a street with palm trees
136,293027,1,make the cat's nose black,make the cat's nose white,a black and white cat hugging a handbag,A black and white cat with a black nose hugging a handbag,cat hugging a handbag with black nose
137,29324,1,Remove the surfboards.,add surfboards,Three people posing for a picture in front of surf boards.,Three people posing for a picture.,Three people posing for a picture.
138,294973,1,change the teddy bear into a ship,change the ship into a teddy bear,A stuffed bear that is wearing a pirate hat.,A pirate ship with a hat at the helm.,ship wearing a pirate hat
139,299200,1,take away the skateboarders arms.,give the skateboarder arms.,A man riding a skateboard on a wooden ramp.,A man riding a skateboard on a wooden ramp without arms.,skateboarder on ramp
140,299200,2,make the ramp cement,make the ramp wooden,A man riding a skateboard on a wooden ramp without arms.,A man riding a skateboard on a cement ramp without arms.,skateboarding on cement ramp
141,299200,3,add a street,remove the street,A man riding a skateboard on a cement ramp without arms.,A man riding a skateboard on a cement ramp without arms on a city street.,skateboarding on a cement ramp in the street
142,302107,2,Make the man's pants all white.,Make the man's pants white with a black stripe,A man holding a baseball bat during a baseball game.,A man holding a baseball bat during a baseball game with all white pants.,white pants
143,308192,1,put a tennis racket next to the bat,remove the tennis racket beside the bat,An old log surrounded by leaves with a baseball bat on it and a baseball helmet under it.,"An old log surrounded by leaves with a baseball bat and a tennis racket on it, and a baseball helmet under it.",baseball bat and tennis racket
144,309,1,change the teddy bear into a stuffed action figure toy,change the stuffed action figure toy into a teddy bear,A stuffed bear that is laying down in the grass.,A stuffed action figure toy laying down in the grass.,stuffed action figure toy in the grass
145,309,2,let a child play nearby,remove the child playing,A stuffed action figure toy laying down in the grass.,A child playing with a stuffed action figure toy in the grass.,child playing nearby
146,311326,1,Let the blood orange be swapped with an apple.,let the apple be swappe with a blood orange,Blood oranges cut in half side by side on a cutting board.,Apples cut in half side by side on a cutting board.,apple cut in half on a cutting board
147,3131,1,change the toothpicks into candles,change the candles into toothpicks,A sandwich on a plate sitting on a table.,A sandwich on a plate with candlesticks sitting on a table.,candles on a sandwich plate
148,313345,1,change the Washington Monument with the Statue of Liberty,change the Statue of Liberty with the Washington Monument,The Washington Monument with kites flying in the sky around it.,The Statue of Liberty with kites flying in the sky around it.,Statue of Liberty with kites flying in the sky around it.
149,313345,2,add flying eagles over the statue,remove the eagles flying over the statue,The Statue of Liberty with kites flying in the sky around it.,The Statue of Liberty with flying eagles and kites in the sky around it.,flying eagles over the Statue of Liberty
150,315319,1,Change the clock to a TV.,Change the TV to a clock,A kitchen with a large clock mounted to it's wall.,A kitchen with a large TV mounted to its wall.,TV in kitchen
151,315319,2,Put a show about cats on the TV.,Make the TV blank,A kitchen with a large TV mounted to its wall.,A kitchen with a large TV mounted to its wall showing a show about cats.,TV showing cats
152,31749,1,Make the doll wear a hat.,Remove the hat from the doll,A demonic looking chucky like doll standing next to a white clock.,A demonic looking chucky like doll wearing a hat standing next to a white clock.,hat
153,317806,1,let the cup contain flowers,Let the cup contain writing utensils,"The wood holder contains pens, scissors, and pencils.",The wood holder with a bouquet of flowers.,cup of flowers
154,319096,1,Make the piece of paper hanging on the wall a mirror,Make the mirror on the wall a piece of paper,A laptop that is sitting on a desk.,A laptop that is sitting on a desk with a mirror hanging on the wall.,laptop on desk with mirror on wall
155,329847,1,give her a baseball cap,give her an open tennis hat,a tennis player with a racket on a court,A tennis player with a baseball cap and racket on a court,tennis player with a baseball cap on a court
156,329847,2,get rid of the racket,make her hold a tennis racket,A tennis player with a baseball cap and racket on a court,A tennis player with a baseball cap on a court,A tennis player with a baseball cap on a court.
157,332877,1,Change the trees to palm trees,change the palm trees to regular trees,A group of motorcyclers riding down a street with traffic,A group of motorcyclers riding down a street with traffic lined with palm trees,motorcyclers riding down a street with palm trees
158,334809,1,Replace the greens with onions.,replace the onions with greens,Blue and white plate with meat and brussel sprouts.,Blue and white plate with meat and onions.,Plate with meat and onions.
159,335479,1,make the people angry,make the people happy,there are many people riding this train together,There are many angry people riding this train together,angry people riding the train together
